Log started on 2021_02_23_102610
rodRBStateFileLogger.,
Simulation time (sec),CoM_X,CoM_Y,Theta,dCoM_X_dt,dCoM_Y_dt,dTheta_dt
0.11,9.57913e-08,0.0172198,-0.00102864,1.56447e-06,8.86001e-07,-0.0148912
0.115,1.01497e-07,0.0172198,-0.00104325,7.29311e-07,4.66733e-07,-0.00695859
0.12,1.03334e-07,0.0172198,-0.00104798,3.8099e-08,2.46026e-07,-0.000429064
0.125,1.02277e-07,0.0172198,-0.00104532,-4.20793e-07,1.298e-07,0.00389734
0.13,9.95429e-08,0.0172198,-0.00103837,-6.36169e-07,6.85542e-08,0.00592998
0.135,9.62605e-08,0.0172198,-0.00103002,-6.49456e-07,3.62456e-08,0.00606387
0.14,9.32773e-08,0.0172198,-0.00102243,-5.28146e-07,1.91743e-08,0.0049343
0.145,9.10865e-08,0.0172198,-0.00101685,-3.43244e-07,1.01354e-08,0.0032075
0.15,8.98515e-08,0.0172198,-0.00101371,-1.5383e-07,5.33972e-09,0.00143724
0.155,8.94876e-08,0.0172198,-0.00101279,6.18065e-10,2.79296e-09,-6.64798e-06
0.16,8.97654e-08,0.0172198,-0.00101349,1.01328e-07,1.44317e-09,-0.000948241
0.165,9.04064e-08,0.0172198,-0.00101513,1.46797e-07,7.33146e-10,-0.00137333
0.17,9.11563e-08,0.0172198,-0.00101704,1.47101e-07,3.65653e-10,-0.00137606
0.175,9.18272e-08,0.0172198,-0.00101874,1.17859e-07,1.80715e-10,-0.00110248
0.18,9.23122e-08,0.0172198,-0.00101998,7.51787e-08,9.14829e-11,-0.00070323
0.185,9.25788e-08,0.0172198,-0.00102066,3.2268e-08,5.06584e-11,-0.000301843
0.19,9.26495e-08,0.0172198,-0.00102084,-2.20489e-09,3.27464e-11,2.06134e-05
0.195,9.25781e-08,0.0172198,-0.00102066,-2.42696e-08,2.44726e-11,0.000227003
0.2,9.24282e-08,0.0172198,-0.00102027,-3.38174e-08,1.94435e-11,0.000316312
0.205,9.22571e-08,0.0172198,-0.00101984,-3.32824e-08,1.50543e-11,0.00031131
0.21,9.21064e-08,0.0172198,-0.00101946,-2.62719e-08,1.06485e-11,0.000245737
0.215,9.19991e-08,0.0172198,-0.00101918,-1.64369e-08,6.41988e-12,0.000153744
0.22,9.19417e-08,0.0172198,-0.00101904,-6.72621e-09,2.78629e-12,6.29142e-05
0.225,9.19284e-08,0.0172198,-0.001019,9.597e-10,7.42258e-14,-8.9768e-06
0.23,9.19464e-08,0.0172198,-0.00101905,5.78545e-09,-1.59595e-12,-5.4115e-05
0.235,9.19814e-08,0.0172198,-0.00101914,7.77807e-09,-2.30594e-12,-7.27532e-05
0.24,9.20204e-08,0.0172198,-0.00101924,7.55403e-09,-2.28864e-12,-7.06576e-05
0.245,-2.22833e-06,0.0172207,0.00527392,-0.000599877,0.000340717,2.76933
0.25,-5.35816e-06,0.0172222,-0.000699869,-0.000654042,0.000234341,3.75246
0.255,-8.82946e-06,0.0172232,0.000174997,-0.000739397,0.000170544,5.92518
0.26,-1.27787e-05,0.017224,0.0071137,-0.000840536,0.000155268,7.49081
0.265,-1.72192e-05,0.0172247,0.0170408,-0.000932863,0.000158469,8.49081
0.27,-2.20679e-05,0.0172255,0.0282337,-0.00100225,0.0001657,9.09726
0.275,-2.71911e-05,0.0172264,0.0399029,-0.00104199,0.00017092,9.3907
0.28,-3.24333e-05,0.0172272,0.0516303,-0.00104971,0.000171811,9.39839
0.285,-3.7634e-05,0.0172281,0.0631066,-0.00102557,0.000167705,9.13413
0.29,-4.26378e-05,0.0172289,0.0740485,-0.000971373,0.000158694,8.61534
0.295,-4.73015e-05,0.0172297,0.0841869,-0.000890044,0.000145229,7.86722
0.3,-5.14985e-05,0.0172304,0.0932759,-0.000785328,0.000127949,6.9222
0.305,-5.51224e-05,0.0172309,0.101104,-0.000661555,0.000107593,5.81788
0.31,-5.80896e-05,0.0172314,0.107503,-0.000523442,8.49478e-05,4.59504
0.315,-6.03408e-05,0.0172318,0.112353,-0.000375918,6.08216e-05,3.29583
0.32,-6.18413e-05,0.017232,0.115584,-0.000223947,3.6015e-05,1.96224
0.325,-7.38449e-05,0.0172385,0.139547,-0.00409949,0.00179158,30.5163
0.33,-0.00010149,0.0172472,0.1836,-0.00691547,0.00169298,54.0763
0.335,-0.000142555,0.0172557,0.260805,-0.00946206,0.00174618,74.0776
0.34,-0.000195509,0.0172648,0.364878,-0.0116555,0.0018964,87.6805
0.345,-0.000258368,0.0172746,0.486937,-0.0134133,0.00204047,94.7606
0.35,-0.000328814,0.0172851,0.619315,-0.0146851,0.00213011,96.0994
0.355,-0.000404352,0.0172958,0.755644,-0.0154475,0.00214879,92.9189
0.36,-0.000482419,0.0173065,0.890701,-0.0156984,0.00209646,86.5782
0.365,-0.000560492,0.0173167,1.02033,-0.0154537,0.0019814,78.3036
0.37,-0.000636167,0.0173262,1.14129,-0.0147452,0.00181566,69.0334
0.375,-0.000707232,0.0173348,1.25113,-0.0136179,0.00161235,59.3939
0.38,-0.00077173,0.0173423,1.34801,-0.0121279,0.00138392,49.7571
0.385,-0.000828004,0.0173486,1.43056,-0.0103396,0.00114113,40.3206
0.39,-0.000874739,0.0173537,1.49785,-0.00832397,0.000892621,31.179
0.395,-0.000910983,0.0173575,1.54929,-0.006155,0.000644821,22.3738
0.4,-0.000936156,0.0173601,1.58468,-0.00390786,0.000402237,13.9241
0.405,-0.00096169,0.0173665,1.59431,-0.00576459,0.00152225,10.8459
0.41,-0.000992401,0.0173731,1.6138,-0.00649321,0.00112771,16.8195
0.415,-0.00102641,0.0173781,1.64844,-0.00708745,0.000902231,20.5691
0.42,-0.00106298,0.0173823,1.69183,-0.00750868,0.000800946,22.424
0.425,-0.00110113,0.0173862,1.7396,-0.00771353,0.000745295,22.9729
0.43,-0.00113972,0.0173898,1.78883,-0.00768578,0.000698662,22.5629
0.435,-0.00117759,0.0173931,1.83735,-0.00742809,0.000646578,21.4129
0.44,-0.00121363,0.0173962,1.88344,-0.00695559,0.000584795,19.6819
0.445,-0.00124682,0.017399,1.92573,-0.00629188,0.000513551,17.4988
0.45,-0.00127628,0.0174013,1.96309,-0.00546655,0.000434853,14.975
0.455,-0.00130127,0.0174033,1.99467,-0.00451329,0.000351192,12.2094
0.46,-0.00132125,0.0174048,2.01984,-0.00346825,0.000264969,9.29185
0.465,-0.00133586,0.017406,2.03819,-0.00236871,0.000178276,6.30443
0.47,-0.00134491,0.0174066,2.04956,-0.00125174,9.28674e-05,3.32264
0.475,-0.00134841,0.0174069,2.05398,-0.000153031,1.02163e-05,0.416051
0.48,-0.00134653,0.0174067,2.05167,0.000894184,-6.83821e-05,-2.35136
0.485,-0.00135147,0.0174104,2.02741,-0.00230205,0.00100382,-2.73963
0.49,-0.00136816,0.0174148,2.02399,-0.00435279,0.000746377,6.70413
0.495,-0.00139479,0.0174181,2.04487,-0.00627149,0.000637596,13.7166
0.5,-0.00143051,0.0174213,2.08277,-0.00797266,0.000629671,18.7899
0.505,-0.001474,0.0174245,2.13287,-0.00937306,0.000649564,22.3701
0.51,-0.00152364,0.0174278,2.19154,-0.0104227,0.000662861,24.6876
0.515,-0.00157759,0.0174311,2.25574,-0.0110963,0.000656464,25.894
0.52,-0.00163395,0.0174343,2.32277,-0.0113876,0.000627961,26.1169
0.525,-0.00169083,0.0174373,2.39018,-0.0113051,0.000580152,25.4773
0.53,-0.0017464,0.0174401,2.45575,-0.0108702,0.000518087,24.0947
0.535,-0.00179898,0.0174425,2.51751,-0.0101145,0.000447363,22.0868
0.54,-0.00184707,0.0174446,2.57375,-0.0090788,0.0003731,19.5687
0.545,-0.00188938,0.0174462,2.62306,-0.00781039,0.000299367,16.6524
0.55,-0.00192487,0.0174475,2.66431,-0.00636156,0.000228926,13.4464
0.555,-0.00195278,0.0174485,2.69668,-0.00478751,0.000163227,10.0553
0.56,-0.00197263,0.0174492,2.71968,-0.00314445,0.000102598,6.57934
0.565,-0.00199624,0.0174527,2.71327,-0.00568411,0.00086815,3.29489
0.57,-0.0020279,0.0174562,2.72423,-0.00694647,0.00055194,9.96687
0.575,-0.00206544,0.0174584,2.75464,-0.00804245,0.0003668,14.2423
0.58,-0.00210793,0.01746,2.79683,-0.0089093,0.000274684,16.8894
0.585,-0.00215404,0.0174612,2.84614,-0.00948808,0.00021975,18.3993
0.59,-0.00220227,0.0174622,2.89929,-0.00975282,0.000177205,19.0136
0.595,-0.00225103,0.017463,2.9537,-0.00970076,0.000138304,18.8789
0.6,-0.00229877,0.0174636,3.00723,-0.00934523,0.000101486,18.105
0.605,-0.00234401,0.017464,3.05804,-0.00871135,6.79842e-05,16.7873
0.61,-0.00238546,0.0174643,3.10458,-0.00783307,3.96594e-05,15.0169
0.615,-0.002422,0.0174644,3.14558,-0.00675093,1.7951e-05,12.8836
0.62,-0.0024527,0.0174645,3.18002,-0.00551004,3.43245e-06,10.4773
0.625,-0.00247691,0.0174645,3.20716,-0.00415826,-4.27984e-06,7.88724
0.63,-0.00249418,0.0174645,3.22654,-0.00274443,-6.40061e-06,5.20081
0.635,-0.00250433,0.0174644,3.23795,-0.00131674,-4.72175e-06,2.50219
0.64,-0.0025074,0.0174644,3.24147,7.87843e-05,-1.29841e-06,-0.129247
0.645,-0.00251584,0.0174666,3.21586,-0.00281987,0.00056099,-2.89594
0.65,-0.00253412,0.0174686,3.21035,-0.00447471,0.000266943,4.28599
0.655,-0.00256042,0.0174695,3.22681,-0.00602345,8.54457e-05,9.23592
0.66,-0.00259403,0.0174696,3.25773,-0.00738125,-1.47273e-05,12.732
0.665,-0.00263377,0.0174694,3.2986,-0.00846987,-7.9555e-05,15.1938
0.67,-0.00267819,0.0174689,3.34622,-0.00924542,-0.000129536,16.8047
0.675,-0.00272566,0.0174681,3.39797,-0.00968858,-0.00017171,17.665
0.68,-0.00277451,0.0174672,3.4516,-0.00979777,-0.000206866,17.8465
0.685,-0.00282309,0.017466,3.50508,-0.00958515,-0.000233234,17.4142
0.69,-0.00286985,0.0174648,3.55659,-0.00907393,-0.00024844,16.4353
0.695,-0.00291338,0.0174636,3.60453,-0.00829629,-0.000250568,14.9823
0.7,-0.00295243,0.0174624,3.64753,-0.00729153,-0.000238723,13.1336
0.705,-0.00298598,0.0174612,3.68446,-0.00610419,-0.000213261,10.9725
0.71,-0.00301324,0.0174602,3.71448,-0.00478229,-0.000175783,8.585
0.715,-0.00303366,0.0174595,3.73697,-0.00337551,-0.000128942,6.05791
0.72,-0.00304694,0.017459,3.75163,-0.00193354,-7.61373e-05,3.4768
0.725,-0.00306525,0.0174599,3.73582,-0.00472843,0.000258824,0.454701
0.73,-0.00309263,0.0174605,3.73962,-0.00619749,-3.72266e-05,7.06037
0.735,-0.00312698,0.0174597,3.76424,-0.00751529,-0.000239571,11.3953
0.74,-0.00316739,0.0174582,3.80187,-0.0086039,-0.000369101,14.2806
0.745,-0.00321251,0.0174561,3.84787,-0.00939493,-0.000459193,16.1371
0.75,-0.00326077,0.0174536,3.89892,-0.00985531,-0.000523631,17.1574
0.755,-0.00331049,0.0174509,3.95236,-0.00997681,-0.000566353,17.4544
0.76,-0.00335998,0.017448,4.00595,-0.00976875,-0.00058729,17.1115
0.765,-0.00340765,0.0174451,4.05775,-0.00925358,-0.000585341,16.2042
0.77,-0.00345205,0.0174422,4.10606,-0.00846384,-0.000559872,14.8087
0.775,-0.00349189,0.0174395,4.14945,-0.00743982,-0.000511442,13.0052
0.78,-0.00352613,0.0174371,4.18675,-0.00622743,-0.000442066,10.8784
0.785,-0.00355393,0.0174351,4.21706,-0.00487625,-0.00035518,8.51601
0.79,-0.00357474,0.0174336,4.23978,-0.00343759,-0.000255388,6.00704
0.795,-0.00358825,0.0174326,4.25456,-0.00196276,-0.000148077,3.43939
0.8,-0.00359439,0.0174321,4.26135,-0.000501363,-3.89635e-05,0.897526
0.805,-0.0036056,0.0174324,4.23707,-0.00331542,7.73903e-05,-2.02929
0.81,-0.00362602,0.0174321,4.23287,-0.00483597,-0.0002129,4.53098
0.815,-0.00365378,0.0174304,4.24991,-0.00624517,-0.0004315,8.93748
0.82,-0.00368814,0.0174278,4.28059,-0.00745768,-0.000588068,11.9992
0.825,-0.0037279,0.0174246,4.32039,-0.00839889,-0.000705143,14.106
0.83,-0.0037716,0.0174208,4.36614,-0.00902921,-0.000791412,15.4295
0.835,-0.00381764,0.0174167,4.41527,-0.00933383,-0.000848658,16.0643
0.84,-0.00386439,0.0174124,4.46559,-0.00931554,-0.000876072,16.0783
0.845,-0.00391027,0.017408,4.51519,-0.00899051,-0.000872485,15.5323
0.85,-0.00395381,0.0174037,4.56235,-0.00838545,-0.000837528,14.4899
0.855,-0.00399371,0.0173997,4.60561,-0.00753539,-0.000772206,13.0205
0.86,-0.00402882,0.0173961,4.64372,-0.00648168,-0.000679121,11.1997
0.865,-0.00405826,0.0173929,4.67569,-0.00527009,-0.00056243,9.1084
0.87,-0.00408134,0.0173905,4.70079,-0.00394899,-0.00042761,6.83039
0.875,-0.00409764,0.0173887,4.71857,-0.00256759,-0.000281092,4.45026
0.88,-0.00410699,0.0173877,4.72882,-0.00117427,-0.000129796,2.0508
0.885,-0.00412164,0.0173867,4.70782,-0.00400928,-0.000229095,-0.733221
0.89,-0.00414553,0.0173848,4.70713,-0.00552613,-0.000519197,5.72607
0.895,-0.00417668,0.0173816,4.72764,-0.00690517,-0.000755932,10.0253
0.9,-0.0042142,0.0173773,4.76161,-0.00806253,-0.000937157,12.9666
0.905,-0.0042568,0.0173723,4.80436,-0.008927,-0.00107458,14.932
0.91,-0.00430291,0.0173667,4.85261,-0.00946295,-0.00117143,16.0937
0.915,-0.00435085,0.0173607,4.90371,-0.00965987,-0.00122705,16.5506
0.92,-0.00439895,0.0173545,4.95542,-0.00952516,-0.00124,16.3755
0.925,-0.00444558,0.0173483,5.00577,-0.00907969,-0.00120963,15.6353
0.93,-0.00448927,0.0173424,5.05305,-0.00835478,-0.00113691,14.3997
0.935,-0.00452872,0.017337,5.09581,-0.00738983,-0.00102472,12.7444
0.94,-0.00456283,0.0173323,5.13283,-0.00623015,-0.000877926,10.7509
0.945,-0.00459077,0.0173283,5.16318,-0.00492498,-0.000703165,8.50592
0.95,-0.00461192,0.0173253,5.18621,-0.00352552,-0.000508435,6.09816
0.955,-0.00462595,0.0173232,5.20153,-0.00208314,-0.000302595,3.61633
0.96,-0.00463277,0.0173222,5.20905,-0.000647675,-9.47871e-05,1.14631
0.965,-0.00464461,0.0173206,5.18473,-0.00342492,-0.000399999,-1.60483
0.97,-0.00466552,0.0173179,5.18066,-0.00491828,-0.000682563,4.74497
0.975,-0.0046936,0.0173139,5.19778,-0.00628967,-0.000934026,9.00356
0.98,-0.00472806,0.0173087,5.22842,-0.00745458,-0.00113958,11.9524
